Emp ID,Job Title,Date of Join
AC0060,Packaging Associate,2019-09-14 00:00:00
AC0061,Marketing Manager,2018-04-06 00:00:00
AC0062,Research Analyst,2020-01-19 00:00:00
AC0063,Product Manager,2022-07-04 00:00:00
AC0064,Production Operator,2021-08-17 00:00:00
AC0065,Chocolatier,2018-12-10 00:00:00
AC0066,Marketing Specialist,2019-09-23 00:00:00
AC0067,Research Scientist,2022-02-15 00:00:00
AC0068,Sales Representative,2021-06-29 00:00:00
AC0069,Quality Control,2020-03-22 00:00:00
AC0070,Packaging Associate,2023-01-12 00:00:00
AC0071,Production Operator,2019-06-05 00:00:00
AC0072,Research Analyst,2018-09-28 00:00:00
AC0073,Product Manager,2017-04-11 00:00:00
AC0074,Chocolatier,2023-02-26 00:00:00
AC0075,Marketing Manager,2020-07-15 00:00:00
AC0076,Research Scientist,2019-10-28 00:00:00
AC0077,Sales Representative,2022-04-13 00:00:00
AC0078,Quality Control,2021-05-28 00:00:00
AC0079,Packaging Associate,2020-06-21 00:00:00
AC0080,Production Operator,2018-09-04 00:00:00
AC0081,Research Analyst,2019-08-20 00:00:00
AC0082,Product Manager,2022-03-09 00:00:00
AC0083,Chocolatier,2021-12-22 00:00:00
AC0084,Marketing Specialist,2019-07-15 00:00:00
AC0085,Research Scientist,2023-04-27 00:00:00
AC0086,Sales Representative,2020-05-10 00:00:00
AC0087,Quality Control,2021-02-03 00:00:00
AC0088,Packaging Associate,2022-05-19 00:00:00
AC0089,Production Operator,2019-08-14 00:00:00
AC0090,Chocolatier,2018-11-27 00:00:00
AC0091,Marketing Manager,2017-06-10 00:00:00
AC0092,Research Analyst,2023-03-19 00:00:00
AC0093,Product Manager,2020-09-02 00:00:00
AC0094,Production Operator,2019-07-17 00:00:00
AC0095,Chocolatier,2018-12-10 00:00:00
AC0096,Marketing Specialist,2023-05-04 00:00:00
AC0097,Research Scientist,2021-10-28 00:00:00
AC0098,Sales Representative,2020-02-12 00:00:00
AC0099,Quality Control,2019-05-27 00:00:00
AC0100,Packaging Associate,2022-12-12 00:00:00
AC0101,Production Operator,2021-04-26 00:00:00
AC0102,Research Analyst,2018-09-09 00:00:00
AC0103,Product Manager,2017-10-31 00:00:00
AC0104,Chocolatier,2023-01-15 00:00:00
AC0105,Marketing Manager,2020-06-28 00:00:00
AC0106,Research Scientist,2019-09-11 00:00:00
AC0107,Sales Representative,2022-03-04 00:00:00
AC0108,Quality Control,2021-06-17 00:00:00
AC0109,Packaging Associate,2018-11-30 00:00:00
AC0110,Production Operator,2017-07-23 00:00:00
AC0111,Research Analyst,2023-05-11 00:00:00
AC0112,Product Manager,2020-10-24 00:00:00
AC0113,Chocolatier,2019-04-15 00:00:00
AC0114,Marketing Specialist,2018-09-08 00:00:00
AC0115,Research Scientist,2021-11-29 00:00:00
AC0116,Sales Representative,2020-07-13 00:00:00
AC0117,Quality Control,2019-03-28 00:00:00
AC0118,Packaging Associate,2022-08-12 00:00:00
AC0119,Production Operator,2021-05-25 00:00:00
AC0120,Research Analyst,2018-10-18 00:00:00
AC0121,Product Manager,2017-05-11 00:00:00
AC0122,Chocolatier,2023-01-26 00:00:00
AC0123,Marketing Manager,2020-07-09 00:00:00
AC0124,Research Scientist,2019-10-01 00:00:00
AC0125,Sales Representative,2022-02-14 00:00:00
AC0126,Quality Control,2021-07-29 00:00:00
AC0127,Packaging Associate,2018-11-21 00:00:00
AC0128,Production Operator,2017-06-14 00:00:00
AC0129,Research Analyst,2023-01-07 00:00:00
AC0130,Product Manager,2020-07-30 00:00:00
AC0131,Chocolatier,2019-12-23 00:00:00
AC0132,Marketing Specialist,2018-09-16 00:00:00
AC0133,Research Scientist,2022-02-07 00:00:00
AC0134,Sales Representative,2021-06-22 00:00:00
AC0135,Quality Control,2020-09-15 00:00:00
AC0136,Packaging Associate,2019-11-28 00:00:00
AC0137,Production Operator,2023-01-12 00:00:00
AC0138,Research Analyst,2021-05-05 00:00:00
AC0139,Product Manager,2018-09-28 00:00:00
AC0140,Chocolatier,2022-05-11 00:00:00
AC0141,Marketing Manager,2021-09-24 00:00:00
AC0142,Research Scientist,2020-12-17 00:00:00
AC0143,Sales Representative,2023-02-08 00:00:00
AC0144,Quality Control,2021-07-24 00:00:00
AC0145,Packaging Associate,2019-11-17 00:00:00
AC0146,Production Operator,2018-10-10 00:00:00
AC0147,Research Analyst,2020-02-03 00:00:00
AC0148,Product Manager,2019-07-27 00:00:00
AC0149,Chocolatier,2021-11-20 00:00:00
AC0150,Marketing Specialist,2020-05-13 00:00:00
AC0151,Research Scientist,2019-08-06 00:00:00
AC0152,Sales Representative,2023-03-01 00:00:00
AC0153,Quality Control,2021-05-25 00:00:00
AC0154,Packaging Associate,2020-09-17 00:00:00
AC0155,Production Operator,2019-12-10 00:00:00
AC0156,Research Analyst,2018-11-03 00:00:00
AC0157,Product Manager,2017-11-26 00:00:00
AC0158,Chocolatier,2023-04-09 00:00:00
AC0159,Marketing Manager,2020-06-02 00:00:00
AC0160,Research Scientist,2019-08-26 00:00:00
AC0161,Sales Representative,2022-03-19 00:00:00
