Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,male,26.0,1,0,14.4542,n,C
1,3,male,32.0,0,0,56.4958,n,S
0,3,male,25.0,0,0,7.65,F,S
0,3,male,28.0,0,0,7.8958,n,S
0,3,male,28.0,0,0,8.05,n,S
1,2,male,0.83,0,2,29.0,n,S
1,3,female,30.0,0,0,12.475,n,S
0,3,male,22.0,0,0,9.0,n,S
1,3,male,29.0,0,0,9.5,n,S
1,3,female,28.0,0,0,7.7875,n,Q
0,1,male,28.0,0,0,47.1,n,S
1,2,female,17.0,0,0,10.5,n,S
1,3,female,33.0,3,0,15.85,n,S
0,3,male,16.0,1,3,34.375,n,S
0,3,male,28.0,0,0,8.05,n,S
1,1,female,23.0,3,2,263.0,C,S
0,3,male,24.0,0,0,8.05,n,S
0,3,male,29.0,0,0,8.05,n,S
0,3,male,20.0,0,0,7.8542,n,S
0,1,male,46.0,1,0,61.175,E,S
0,3,male,26.0,1,2,20.575,n,S
0,3,male,59.0,0,0,7.25,n,S
0,3,male,28.0,0,0,8.05,n,S
0,1,male,71.0,0,0,34.6542,A,C
1,1,male,23.0,0,1,63.3583,D,C
1,2,female,34.0,0,1,23.0,n,S
0,2,male,34.0,1,0,26.0,n,S
0,3,female,28.0,0,0,7.8958,n,S
0,3,male,28.0,0,0,7.8958,n,S
0,1,male,21.0,0,1,77.2875,D,S
0,3,male,33.0,0,0,8.6542,n,S
0,3,male,37.0,2,0,7.925,n,S
0,3,male,28.0,0,0,7.8958,n,S
1,3,female,21.0,0,0,7.65,n,S
1,3,male,28.0,0,0,7.775,n,S
0,3,male,38.0,0,0,7.8958,n,S
1,3,female,28.0,1,0,24.15,n,Q
0,1,male,47.0,0,0,52.0,C,S
0,3,female,14.5,1,0,14.4542,n,C
0,3,male,22.0,0,0,8.05,n,S
0,3,female,20.0,1,0,9.825,n,S
0,3,female,17.0,0,0,14.4583,n,C
0,3,male,21.0,0,0,7.925,n,S
0,3,male,70.5,0,0,7.75,n,Q
0,2,male,29.0,1,0,21.0,n,S
0,1,male,24.0,0,1,247.5208,B,C
0,3,female,2.0,4,2,31.275,n,S
0,2,male,21.0,2,0,73.5,n,S
0,3,male,28.0,0,0,8.05,n,S
0,2,male,32.5,1,0,30.0708,n,C
1,2,female,32.5,0,0,13.0,E,S
0,1,male,54.0,0,1,77.2875,D,S
1,3,male,12.0,1,0,11.2417,n,C
0,3,male,28.0,0,0,7.75,n,Q
1,3,male,24.0,0,0,7.1417,n,S
1,3,female,28.0,1,1,22.3583,F,C
0,3,male,45.0,0,0,6.975,n,S
0,3,male,33.0,0,0,7.8958,n,C
0,3,male,20.0,0,0,7.05,n,S
0,3,female,47.0,1,0,14.5,n,S
1,2,female,29.0,1,0,26.0,n,S
0,2,male,25.0,0,0,13.0,n,S
0,2,male,23.0,0,0,15.0458,n,C
1,1,female,19.0,0,2,26.2833,D,S
0,1,male,37.0,1,0,53.1,C,S
0,3,male,16.0,0,0,9.2167,n,S
0,1,male,24.0,0,0,79.2,B,C
0,3,female,28.0,0,2,15.2458,n,C
1,3,female,22.0,0,0,7.75,n,S
1,3,female,24.0,1,0,15.85,n,S
0,3,male,19.0,0,0,6.75,n,Q
0,2,male,18.0,0,0,11.5,n,S
0,2,male,19.0,1,1,36.75,n,S
1,3,male,27.0,0,0,7.7958,n,S
0,3,female,9.0,2,2,34.375,n,S
0,2,male,36.5,0,2,26.0,F,S
0,2,male,42.0,0,0,13.0,n,S
0,2,male,51.0,0,0,12.525,n,S
1,1,female,22.0,1,0,66.6,C,S
0,3,male,55.5,0,0,8.05,n,S
0,3,male,40.5,0,2,14.5,n,S
0,3,male,28.0,0,0,7.3125,n,S
0,1,male,51.0,0,1,61.3792,n,C
1,3,female,16.0,0,0,7.7333,n,Q
0,3,male,30.0,0,0,8.05,n,S
0,3,male,28.0,0,0,8.6625,n,S
0,3,male,28.0,8,2,69.55,n,S
0,3,male,44.0,0,1,16.1,n,S
1,2,female,40.0,0,0,15.75,n,S
0,3,male,26.0,0,0,7.775,n,S
0,3,male,17.0,0,0,8.6625,n,S
0,3,male,1.0,4,1,39.6875,n,S
1,3,male,9.0,0,2,20.525,n,S
1,1,female,28.0,0,1,55.0,E,S
0,3,female,45.0,1,4,27.9,n,S
0,1,male,28.0,0,0,25.925,n,S
0,3,male,28.0,0,0,56.4958,n,S
0,1,male,61.0,0,0,33.5,B,S
0,3,male,4.0,4,1,29.125,n,Q
1,3,female,1.0,1,1,11.1333,n,S
0,3,male,21.0,0,0,7.925,n,S
0,1,male,56.0,0,0,30.6958,A,C
0,3,male,18.0,1,1,7.8542,n,S
0,3,male,28.0,3,1,25.4667,n,S
0,1,female,50.0,0,0,28.7125,C,C
0,2,male,30.0,0,0,13.0,n,S
0,3,male,36.0,0,0,0.0,n,S
0,3,female,28.0,8,2,69.55,n,S
0,2,male,28.0,0,0,15.05,n,C
0,3,male,9.0,4,2,31.3875,n,S
1,2,male,1.0,2,1,39.0,F,S
1,3,female,4.0,0,2,22.025,n,S
0,1,male,28.0,0,0,50.0,A,S
1,3,female,28.0,1,0,15.5,n,Q
1,1,male,45.0,0,0,26.55,n,S
0,3,male,40.0,1,1,15.5,n,Q
0,3,male,36.0,0,0,7.8958,n,S
1,2,female,32.0,0,0,13.0,n,S
0,2,male,19.0,0,0,13.0,n,S
1,3,female,19.0,1,0,7.8542,n,S
1,2,male,3.0,1,1,26.0,F,S
1,1,female,44.0,0,0,27.7208,B,C
1,1,female,58.0,0,0,146.5208,B,C
0,3,male,28.0,0,0,7.75,n,Q
0,3,male,42.0,0,1,8.4042,n,S
1,3,female,28.0,0,0,7.75,n,Q
0,2,female,24.0,0,0,13.0,n,S
0,3,male,28.0,0,0,9.5,n,S
0,3,male,28.0,8,2,69.55,n,S
0,3,male,34.0,0,0,6.4958,n,S
0,3,male,45.5,0,0,7.225,n,C
1,3,male,18.0,0,0,8.05,n,S
0,3,female,2.0,0,1,10.4625,G,S
0,3,male,32.0,1,0,15.85,n,S
1,3,male,26.0,0,0,18.7875,n,C
1,3,female,16.0,0,0,7.75,n,Q
1,1,male,40.0,0,0,31.0,A,C
0,3,male,24.0,0,0,7.05,n,S
1,2,female,35.0,0,0,21.0,n,S
0,3,male,22.0,0,0,7.25,n,S
0,2,male,30.0,0,0,13.0,n,S
0,3,male,28.0,1,0,7.75,n,Q
1,1,female,31.0,1,0,113.275,D,C
1,3,female,27.0,0,0,7.925,n,S
0,2,male,42.0,1,0,27.0,n,S
1,1,female,32.0,0,0,76.2917,D,C
0,2,male,30.0,0,0,10.5,n,S
1,3,male,16.0,0,0,8.05,n,S
0,2,male,27.0,0,0,13.0,n,S
0,3,male,51.0,0,0,8.05,n,S
0,3,male,28.0,0,0,7.8958,n,S
1,1,male,38.0,1,0,90.0,C,S
0,3,male,22.0,0,0,9.35,n,S
1,2,male,19.0,0,0,10.5,n,S
0,3,male,20.5,0,0,7.25,n,S
0,2,male,18.0,0,0,13.0,n,S
0,3,female,28.0,3,1,25.4667,n,S
1,1,female,35.0,1,0,83.475,C,S
0,3,male,29.0,0,0,7.775,n,S
0,2,male,59.0,0,0,13.5,n,S
1,3,female,5.0,4,2,31.3875,n,S
0,2,male,24.0,0,0,10.5,n,S
0,3,female,28.0,0,0,7.55,n,S
0,2,male,44.0,1,0,26.0,n,S
1,2,female,8.0,0,2,26.25,n,S
0,2,male,19.0,0,0,10.5,n,S
0,2,male,33.0,0,0,12.275,n,S
0,3,female,28.0,1,0,14.4542,n,C
1,3,female,28.0,1,0,15.5,n,Q
0,2,male,29.0,0,0,10.5,n,S
0,3,male,22.0,0,0,7.125,n,S
0,3,male,30.0,0,0,7.225,n,C
0,1,male,44.0,2,0,90.0,C,Q
0,3,female,25.0,0,0,7.775,n,S
1,2,female,24.0,0,2,14.5,n,S
1,1,male,37.0,1,1,52.5542,D,S
0,2,male,54.0,1,0,26.0,n,S
0,3,male,28.0,0,0,7.25,n,S
0,3,female,29.0,1,1,10.4625,G,S
0,1,male,62.0,0,0,26.55,C,S
0,3,male,30.0,1,0,16.1,n,S
0,3,female,41.0,0,2,20.2125,n,S
1,3,female,29.0,0,2,15.2458,n,C
1,1,female,28.0,0,0,79.2,n,C
1,1,female,30.0,0,0,86.5,B,S
1,1,female,35.0,0,0,512.3292,n,C
1,2,female,50.0,0,1,26.0,n,S
0,3,male,28.0,0,0,7.75,n,Q
1,3,male,3.0,4,2,31.3875,n,S
0,1,male,52.0,1,1,79.65,E,S
0,1,male,40.0,0,0,0.0,B,S
0,3,female,28.0,0,0,7.75,n,Q
0,2,male,36.0,0,0,10.5,n,S
0,3,male,16.0,4,1,39.6875,n,S
1,3,male,25.0,1,0,7.775,n,S
1,1,female,58.0,0,1,153.4625,C,S
1,1,female,35.0,0,0,135.6333,C,S
0,1,male,28.0,0,0,31.0,n,S
1,3,male,25.0,0,0,0.0,n,S
1,2,female,41.0,0,1,19.5,n,S
0,1,male,37.0,0,1,29.7,C,C
1,3,female,28.0,0,0,7.75,n,Q
1,1,female,63.0,1,0,77.9583,D,S
0,3,female,45.0,0,0,7.75,n,S
0,2,male,28.0,0,0,0.0,n,S
0,3,male,7.0,4,1,29.125,n,Q
1,3,female,35.0,1,1,20.25,n,S
0,3,male,65.0,0,0,7.75,n,Q
0,3,male,28.0,0,0,7.8542,n,S
0,3,male,16.0,0,0,9.5,n,S
1,3,male,19.0,0,0,8.05,n,S
0,1,male,28.0,0,0,26.0,A,S
0,3,male,33.0,0,0,8.6625,n,C
1,3,male,30.0,0,0,9.5,n,S
0,3,male,22.0,0,0,7.8958,n,S
1,2,male,42.0,0,0,13.0,n,S
1,3,female,22.0,0,0,7.75,n,Q
1,1,female,26.0,0,0,78.85,n,S
1,1,female,19.0,1,0,91.0792,B,C
0,2,male,36.0,0,0,12.875,D,C
0,3,female,24.0,0,0,8.85,n,S
0,3,male,24.0,0,0,7.8958,n,S
0,1,male,28.0,0,0,27.7208,n,C
0,3,male,23.5,0,0,7.2292,n,C
0,1,female,2.0,1,2,151.55,C,S
1,1,male,28.0,0,0,30.5,C,S
1,1,female,50.0,0,1,247.5208,B,C
1,3,female,28.0,0,0,7.75,n,Q
1,3,male,28.0,2,0,23.25,n,Q
0,3,male,19.0,0,0,0.0,n,S
1,2,female,28.0,0,0,12.35,E,Q
0,3,male,28.0,0,0,8.05,n,S
1,1,male,0.92,1,2,151.55,C,S
1,1,female,28.0,0,0,110.8833,n,C
1,1,female,17.0,1,0,108.9,C,C
0,2,male,30.0,1,0,24.0,n,C
1,1,female,30.0,0,0,56.9292,E,C
1,1,female,24.0,0,0,83.1583,C,C
1,1,female,18.0,2,2,262.375,B,C
0,2,female,26.0,1,1,26.0,n,S
0,3,male,28.0,0,0,7.8958,n,S
0,2,male,43.0,1,1,26.25,n,S
1,3,female,26.0,0,0,7.8542,n,S
1,2,female,24.0,1,0,26.0,n,S
0,2,male,54.0,0,0,14.0,n,S
1,1,female,31.0,0,2,164.8667,C,S
1,1,female,40.0,1,1,134.5,E,C
0,3,male,22.0,0,0,7.25,n,S
0,3,male,27.0,0,0,7.8958,n,S
1,2,female,30.0,0,0,12.35,n,Q
1,2,female,22.0,1,1,29.0,n,S
0,3,male,28.0,8,2,69.55,n,S
1,1,female,36.0,0,0,135.6333,C,C
0,3,male,61.0,0,0,6.2375,n,S
1,2,female,36.0,0,0,13.0,D,S
1,3,female,31.0,1,1,20.525,n,S
1,1,female,16.0,0,1,57.9792,B,C
1,3,female,28.0,2,0,23.25,n,Q
0,1,male,45.5,0,0,28.5,C,S
0,1,male,38.0,0,1,153.4625,C,S
0,3,male,16.0,2,0,18.0,n,S
1,1,female,28.0,1,0,133.65,n,S
0,3,male,28.0,0,0,7.8958,n,S
0,1,male,29.0,1,0,66.6,C,S
1,1,female,41.0,0,0,134.5,E,C
1,3,male,45.0,0,0,8.05,n,S
0,1,male,45.0,0,0,35.5,T,S
1,2,male,2.0,1,1,26.0,F,S
1,1,female,24.0,3,2,263.0,C,S
0,2,male,28.0,0,0,13.0,n,S
0,2,male,25.0,0,0,13.0,n,S
0,2,male,36.0,0,0,13.0,n,S
1,2,female,24.0,0,0,13.0,F,S
1,2,female,40.0,0,0,13.0,n,S
1,3,female,28.0,1,0,16.1,n,S
1,3,male,3.0,1,1,15.9,n,S
0,3,male,42.0,0,0,8.6625,n,S
0,3,male,23.0,0,0,9.225,n,S
0,1,male,28.0,0,0,35.0,C,S
0,3,male,15.0,1,1,7.2292,n,C
0,3,male,25.0,1,0,17.8,n,S
0,3,male,28.0,0,0,7.225,n,C
0,3,male,28.0,0,0,9.5,n,S
1,1,female,22.0,0,1,55.0,E,S
0,2,female,38.0,0,0,13.0,n,S
1,3,female,28.0,0,0,7.8792,n,Q
1,3,female,28.0,0,0,7.8792,n,Q
0,3,male,40.0,1,4,27.9,n,S
0,2,male,29.0,1,0,27.7208,n,C
0,3,female,45.0,0,1,14.4542,n,C
0,3,male,35.0,0,0,7.05,n,S
0,3,male,28.0,1,0,15.5,n,Q
0,3,male,30.0,0,0,7.25,n,S
1,1,female,60.0,1,0,75.25,D,C
1,3,female,28.0,0,0,7.2292,n,C
1,3,female,28.0,0,0,7.75,n,Q
1,1,female,24.0,0,0,69.3,B,C
1,1,male,25.0,1,0,55.4417,E,C
0,3,male,18.0,1,0,6.4958,n,S
0,3,male,19.0,0,0,8.05,n,S
0,1,male,22.0,0,0,135.6333,n,C
0,3,female,3.0,3,1,21.075,n,S
1,1,female,28.0,1,0,82.1708,n,C
1,3,female,22.0,0,0,7.25,n,S
0,1,male,27.0,0,2,211.5,C,C
0,3,male,20.0,0,0,4.0125,n,C
0,3,male,19.0,0,0,7.775,n,S
1,1,female,42.0,0,0,227.525,n,C
1,3,female,1.0,0,2,15.7417,n,C
0,3,male,32.0,0,0,7.925,n,S
1,1,female,35.0,1,0,52.0,n,S
0,3,male,28.0,0,0,7.8958,n,S
0,2,male,18.0,0,0,73.5,n,S
0,3,male,1.0,5,2,46.9,n,S
1,2,female,36.0,0,0,13.0,n,S
0,3,male,28.0,0,0,7.7292,n,Q
1,2,female,17.0,0,0,12.0,n,C
1,1,male,36.0,1,2,120.0,B,S
1,3,male,21.0,0,0,7.7958,n,S
0,3,male,28.0,2,0,7.925,n,S
1,1,female,23.0,1,0,113.275,D,C
1,3,female,24.0,0,2,16.7,G,S
0,3,male,22.0,0,0,7.7958,n,S
0,3,female,31.0,0,0,7.8542,n,S
0,2,male,46.0,0,0,26.0,n,S
0,2,male,23.0,0,0,10.5,n,S
1,2,female,28.0,0,0,12.65,n,S
1,3,male,39.0,0,0,7.925,n,S
0,3,male,26.0,0,0,8.05,n,S
0,3,female,21.0,1,0,9.825,n,S
0,3,male,28.0,1,0,15.85,n,S
0,3,female,20.0,0,0,8.6625,n,S
0,2,male,34.0,1,0,21.0,n,S
0,3,male,51.0,0,0,7.75,n,S
1,2,male,3.0,1,1,18.75,n,S
0,3,male,21.0,0,0,7.775,n,S
0,3,female,28.0,3,1,25.4667,n,S
0,3,male,28.0,0,0,7.8958,n,S
0,3,male,28.0,0,0,6.8583,n,Q
1,1,female,33.0,1,0,90.0,C,Q
0,2,male,28.0,0,0,0.0,n,S
1,3,male,44.0,0,0,7.925,n,S
0,3,female,28.0,0,0,8.05,n,S
1,2,female,34.0,1,1,32.5,n,S
1,2,female,18.0,0,2,13.0,n,S
0,2,male,30.0,0,0,13.0,n,S
0,3,female,10.0,0,2,24.15,n,S
0,3,male,28.0,0,0,7.8958,n,C
0,3,male,21.0,0,0,7.7333,n,Q
0,3,male,29.0,0,0,7.875,n,S
0,3,female,28.0,1,1,14.4,n,S
0,3,male,18.0,1,1,20.2125,n,S
0,3,male,28.0,0,0,7.25,n,S
1,2,female,28.0,1,0,26.0,n,S
1,2,female,19.0,0,0,26.0,n,S
0,3,male,28.0,0,0,7.75,n,Q
1,3,male,32.0,0,0,8.05,E,S
1,1,male,28.0,0,0,26.55,C,S
1,3,female,28.0,1,0,16.1,n,S
1,2,female,42.0,1,0,26.0,n,S
0,3,male,17.0,0,0,7.125,n,S
0,1,male,50.0,1,0,55.9,E,S
1,1,female,14.0,1,2,120.0,B,S
0,3,female,21.0,2,2,34.375,n,S
1,2,female,24.0,2,3,18.75,n,S
0,1,male,64.0,1,4,263.0,C,S
0,2,male,31.0,0,0,10.5,n,S
1,2,female,45.0,1,1,26.25,n,S
0,3,male,20.0,0,0,9.5,n,S
0,3,male,25.0,1,0,7.775,n,S
1,2,female,28.0,0,0,13.0,n,S
1,3,male,28.0,0,0,8.1125,n,S
1,1,male,4.0,0,2,81.8583,A,S
1,2,female,13.0,0,1,19.5,n,S
1,1,male,34.0,0,0,26.55,n,S
1,3,female,5.0,2,1,19.2583,n,C
1,1,male,52.0,0,0,30.5,C,S
0,2,male,36.0,1,2,27.75,n,S
0,3,male,28.0,1,0,19.9667,n,S
0,1,male,30.0,0,0,27.75,C,C
1,1,male,49.0,1,0,89.1042,C,C
0,3,male,28.0,0,0,8.05,n,S
1,3,male,29.0,0,0,7.8958,n,C
0,1,male,65.0,0,0,26.55,E,S
1,1,female,28.0,1,0,51.8625,D,S
1,2,female,50.0,0,0,10.5,n,S
0,3,male,28.0,0,0,7.75,n,Q
1,1,male,48.0,0,0,26.55,E,S
0,3,male,34.0,0,0,8.05,n,S
0,1,male,47.0,0,0,38.5,E,S
0,2,male,48.0,0,0,13.0,n,S
0,3,male,28.0,0,0,8.05,n,S
0,3,male,38.0,0,0,7.05,n,S
0,2,male,28.0,0,0,0.0,n,S
0,1,male,56.0,0,0,26.55,n,S
0,3,male,28.0,0,0,7.725,n,Q
1,3,female,0.75,2,1,19.2583,n,C
0,3,male,28.0,0,0,7.25,n,S
0,3,male,38.0,0,0,8.6625,n,S
1,2,female,33.0,1,2,27.75,n,S
1,2,female,23.0,0,0,13.7917,D,C
0,3,female,22.0,0,0,9.8375,n,S
0,1,male,28.0,0,0,52.0,A,S
0,2,male,34.0,1,0,21.0,n,S
0,3,male,29.0,1,0,7.0458,n,S
0,3,male,22.0,0,0,7.5208,n,S
1,3,female,2.0,0,1,12.2875,n,S
0,3,male,9.0,5,2,46.9,n,S
0,2,male,28.0,0,0,0.0,n,S
0,3,male,50.0,0,0,8.05,n,S
1,3,female,63.0,0,0,9.5875,n,S
1,1,male,25.0,1,0,91.0792,B,C
0,3,female,28.0,3,1,25.4667,n,S
1,1,female,35.0,1,0,90.0,C,S
0,1,male,58.0,0,0,29.7,B,C
0,3,male,30.0,0,0,8.05,n,S
1,3,male,9.0,1,1,15.9,n,S
0,3,male,28.0,1,0,19.9667,n,S
0,3,male,21.0,0,0,7.25,n,S
0,1,male,55.0,0,0,30.5,C,S
0,1,male,71.0,0,0,49.5042,n,C
0,3,male,21.0,0,0,8.05,n,S
0,3,male,28.0,0,0,14.4583,n,C
1,1,female,54.0,1,0,78.2667,D,C
0,3,male,28.0,0,0,15.1,n,S
0,1,female,25.0,1,2,151.55,C,S
0,3,male,24.0,0,0,7.7958,n,S
0,3,male,17.0,0,0,8.6625,n,S
0,3,female,21.0,0,0,7.75,n,Q
0,3,female,28.0,0,0,7.6292,n,Q
0,3,female,37.0,0,0,9.5875,n,S
1,1,female,16.0,0,0,86.5,B,S
0,1,male,18.0,1,0,108.9,C,C
1,2,female,33.0,0,2,26.0,n,S
1,1,male,28.0,0,0,26.55,n,S
0,3,male,28.0,0,0,22.525,n,S
1,3,male,26.0,0,0,56.4958,n,S
1,3,male,29.0,0,0,7.75,n,Q
0,3,male,28.0,0,0,8.05,n,S
1,1,male,36.0,0,0,26.2875,E,S
1,1,female,54.0,1,0,59.4,n,C
0,3,male,24.0,0,0,7.4958,n,S
0,1,male,47.0,0,0,34.0208,D,S
1,2,female,34.0,0,0,10.5,F,S
0,3,male,28.0,0,0,24.15,n,Q
1,2,female,36.0,1,0,26.0,n,S
0,3,male,32.0,0,0,7.8958,n,S
1,1,female,30.0,0,0,93.5,B,S
0,3,male,22.0,0,0,7.8958,n,S
0,3,male,28.0,0,0,7.225,n,C
1,1,female,44.0,0,1,57.9792,B,C
0,3,male,28.0,0,0,7.2292,n,C
0,3,male,40.5,0,0,7.75,n,Q
1,2,female,50.0,0,0,10.5,n,S
0,1,male,28.0,0,0,221.7792,C,S
0,3,male,39.0,0,0,7.925,n,S
0,2,male,23.0,2,1,11.5,n,S
1,2,female,2.0,1,1,26.0,n,S
0,3,male,28.0,0,0,7.2292,n,C
0,3,male,17.0,1,1,7.2292,n,C
1,3,female,28.0,0,2,22.3583,n,C
0,3,female,30.0,0,0,8.6625,n,S
1,2,female,7.0,0,2,26.25,n,S
0,1,male,45.0,0,0,26.55,B,S
1,1,female,30.0,0,0,106.425,n,C
0,3,male,28.0,0,0,14.5,n,S
1,1,female,22.0,0,2,49.5,B,C
1,1,female,36.0,0,2,71.0,B,S
0,3,female,9.0,4,2,31.275,n,S
0,3,female,11.0,4,2,31.275,n,S
1,2,male,32.0,1,0,26.0,n,S
0,1,male,50.0,1,0,106.425,C,C
0,1,male,64.0,0,0,26.0,n,S
1,2,female,19.0,1,0,26.0,n,S
1,2,male,28.0,0,0,13.8625,n,C
0,3,male,33.0,1,1,20.525,n,S
1,2,male,8.0,1,1,36.75,n,S
1,1,male,17.0,0,2,110.8833,C,C
0,2,male,27.0,0,0,26.0,n,S
0,3,male,28.0,0,0,7.8292,n,Q
1,3,male,22.0,0,0,7.225,n,C
1,3,female,22.0,0,0,7.775,n,S
0,1,male,62.0,0,0,26.55,n,S
1,1,female,48.0,1,0,39.6,A,C
0,1,male,28.0,0,0,227.525,n,C
1,1,female,39.0,1,1,79.65,E,S
1,3,female,36.0,1,0,17.4,n,S
0,3,male,28.0,0,0,7.75,n,Q
0,3,male,40.0,0,0,7.8958,n,S
0,2,male,28.0,0,0,13.5,n,S
0,3,male,28.0,0,0,8.05,n,S
0,3,female,28.0,0,0,8.05,n,S
0,3,male,24.0,2,0,24.15,n,S
0,3,male,19.0,0,0,7.8958,n,S
0,3,female,29.0,0,4,21.075,n,S
0,3,male,28.0,0,0,7.2292,n,C
1,3,male,32.0,0,0,7.8542,n,S
1,2,male,62.0,0,0,10.5,n,S
1,1,female,53.0,2,0,51.4792,C,S
1,1,male,36.0,0,0,26.3875,E,S
1,3,female,28.0,0,0,7.75,n,Q
0,3,male,16.0,0,0,8.05,n,S
0,3,male,19.0,0,0,14.5,n,S
1,2,female,34.0,0,0,13.0,n,S
1,1,female,39.0,1,0,55.9,E,S
0,3,female,28.0,1,0,14.4583,n,C
1,3,male,32.0,0,0,7.925,n,S
1,2,female,25.0,1,1,30.0,n,S
1,1,female,39.0,1,1,110.8833,C,C
0,2,male,54.0,0,0,26.0,n,S
0,1,male,36.0,0,0,40.125,A,C
0,3,male,28.0,0,0,8.7125,n,C
1,1,female,18.0,0,2,79.65,E,S
0,2,male,47.0,0,0,15.0,n,S
1,1,male,60.0,1,1,79.2,B,C
0,3,male,22.0,0,0,8.05,n,S
0,3,male,28.0,0,0,8.05,n,S
0,3,male,35.0,0,0,7.125,n,S
1,1,female,52.0,1,0,78.2667,D,C
0,3,male,47.0,0,0,7.25,n,S
0,3,female,28.0,0,2,7.75,n,Q
0,2,male,37.0,1,0,26.0,n,S
0,3,male,36.0,1,1,24.15,n,S
1,2,female,28.0,0,0,33.0,n,S
0,3,male,49.0,0,0,0.0,n,S
0,3,male,28.0,0,0,7.225,n,C
1,1,male,49.0,1,0,56.9292,A,C
1,2,female,24.0,2,1,27.0,n,S
0,3,male,28.0,0,0,7.8958,n,S
0,1,male,28.0,0,0,42.4,n,S
0,3,male,44.0,0,0,8.05,n,S
1,1,male,35.0,0,0,26.55,n,C
0,3,male,36.0,1,0,15.55,n,S
0,3,male,30.0,0,0,7.8958,n,S
1,1,male,27.0,0,0,30.5,n,S
1,2,female,22.0,1,2,41.5792,n,C
1,1,female,40.0,0,0,153.4625,C,S
0,3,female,39.0,1,5,31.275,n,S
0,3,male,28.0,0,0,7.05,n,S
1,3,female,28.0,1,0,15.5,n,Q
0,3,male,28.0,0,0,7.75,n,Q
0,3,male,35.0,0,0,8.05,n,S
1,2,female,24.0,1,2,65.0,n,S
0,3,male,34.0,1,1,14.4,n,S
0,3,female,26.0,1,0,16.1,n,S
1,2,female,4.0,2,1,39.0,F,S
0,2,male,26.0,0,0,10.5,n,S
0,3,male,27.0,1,0,14.4542,n,C
